"Census year","Census interval","Taper correction","Kohyama correction","Outlier substitution","AGB","deltaAGB","AWP","AWM","BA","deltaBA","BAP","BAM","N","deltaN","N10","deltaN10"
2005,"2000 - 2005","Yes","No","Yes","262 (251-273)","-0.0719 (-1.12-0.729)","7.37 (7.04-7.77)","7.28 (6.51-8.09)","33.6 (32.5-34.7)","0.0114 (-0.0908-0.093)","1.09 (1.05-1.13)","1.07 (1-1.17)",NA,NA,NA,NA
2010,"2005 - 2010","Yes","No","Yes","262 (251-273)","0.389 (-0.332-1.03)","6.17 (5.96-6.4)","5.6 (5.06-6.13)","33.7 (32.6-34.8)","0.0187 (-0.0435-0.0832)","0.818 (0.795-0.842)","0.78 (0.722-0.84)",NA,NA,NA,NA
2015,NA,"Yes","No","Yes","264 (253-277)",NA,NA,NA,"33.8 (32.6-35)",NA,NA,NA,NA,NA,NA,NA
1985,"1980 - 1985","Yes","Yes","No",NA,NA,"7.63 (6.84-8.48)","6.12 (5.61-6.7)",NA,NA,"1.17 (1.09-1.24)","0.934 (0.882-0.999)",NA,NA,NA,NA
1990,"1985 - 1990","Yes","Yes","No",NA,NA,"6.84 (6.23-7.45)","6.87 (6.2-7.64)",NA,NA,"1.05 (0.987-1.12)","1.06 (0.988-1.15)",NA,NA,NA,NA
1995,"1990 - 1995","Yes","Yes","No",NA,NA,"7.73 (7.15-8.37)","7.1 (6.41-7.86)",NA,NA,"1.11 (1.04-1.17)","1.07 (0.997-1.15)",NA,NA,NA,NA
2000,"1995 - 2000","Yes","Yes","No",NA,NA,"6.99 (6.54-7.6)","7.3 (6.66-7.96)",NA,NA,"1.04 (0.981-1.09)","1.09 (1.03-1.17)",NA,NA,NA,NA
2005,"2000 - 2005","Yes","Yes","No",NA,NA,"7.2 (6.59-7.72)","7.28 (6.52-8.2)",NA,NA,"1.08 (1.01-1.14)","1.07 (0.994-1.16)",NA,NA,NA,NA
2010,"2005 - 2010","Yes","Yes","No",NA,NA,"6.08 (5.73-6.41)","5.6 (5.06-6.16)",NA,NA,"0.813 (0.779-0.844)","0.78 (0.725-0.836)",NA,NA,NA,NA
1985,"1985 - 1990","Yes","Yes","Yes",NA,NA,"8.65 (8.23-9.13)","6.12 (5.6-6.72)",NA,NA,"1.24 (1.2-1.29)","0.934 (0.878-0.997)",NA,NA,NA,NA
1990,"1990 - 1995","Yes","Yes","Yes",NA,NA,"7.63 (7.14-8.17)","6.87 (6.19-7.65)",NA,NA,"1.12 (1.07-1.18)","1.06 (0.995-1.15)",NA,NA,NA,NA
1995,"1995 - 2000","Yes","Yes","Yes",NA,NA,"7.63 (7.2-8.13)","7.1 (6.42-7.87)",NA,NA,"1.09 (1.05-1.14)","1.07 (0.998-1.15)",NA,NA,NA,NA
2000,"2000 - 2005","Yes","Yes","Yes",NA,NA,"7.11 (6.72-7.53)","7.3 (6.68-7.98)",NA,NA,"1.05 (1.01-1.09)","1.09 (1.03-1.16)",NA,NA,NA,NA
2005,"2005 - 2010","Yes","Yes","Yes",NA,NA,"7.37 (7.01-7.74)","7.28 (6.51-8.12)",NA,NA,"1.09 (1.05-1.13)","1.07 (0.995-1.16)",NA,NA,NA,NA
2010,"2010 - 2015","Yes","Yes","Yes",NA,NA,"6.17 (5.96-6.4)","5.6 (5.1-6.14)",NA,NA,"0.818 (0.794-0.841)","0.78 (0.726-0.838)",NA,NA,NA,NA
