"Species","Census year","Census interval","AGB","AWP","AWM","BA","BAP","BAM","N","N10"
"Psychotria psychotriifolia",2000,"2000 - 2005","8.35e-06 (8.35e-06-8.35e-06)","-8.59e-08 (-8.59e-08--8.59e-08)","0 (0-0)","5.09e-06 (5.09e-06-5.09e-06)","1.01e-07 (1.01e-07-1.01e-07)","0 (0-0)","0.02 (0.02-0.02)",NA
"Psychotria psychotriifolia",2005,"1980 - 1985","7.92e-06 (7.92e-06-7.92e-06)",NA,"1.59e-06 (1.59e-06-1.59e-06)","5.59e-06 (5.59e-06-5.59e-06)",NA,"1.12e-06 (1.12e-06-1.12e-06)","0.02 (0.02-0.02)",NA
"Psychotria tenuifolia",1985,"1985 - 1990","1.25e-05 (5.35e-06-2.14e-05)","4.18e-06 (1.68e-06-8.4e-06)","2.39e-06 (7.06e-07-4.39e-06)","1.1e-05 (4.71e-06-1.88e-05)","3.02e-06 (1.39e-06-5.8e-06)","2.1e-06 (8.92e-07-3.59e-06)","0.1 (0.1-0.1)",NA
"Psychotria tenuifolia",1990,"1990 - 1995","2.18e-05 (8.89e-06-4.35e-05)","2.31e-06 (2.31e-06-2.31e-06)","4.55e-06 (1.86e-06-9.14e-06)","1.57e-05 (7.37e-06-3e-05)","1.32e-06 (1.32e-06-1.32e-06)","3.3e-06 (1.54e-06-6.31e-06)","0.08 (0.08-0.08)",NA
"Psychotria tenuifolia",1995,"1995 - 2000","1.1e-05 (1.1e-05-1.1e-05)",NA,"2.18e-06 (2.18e-06-2.18e-06)","6.28e-06 (6.28e-06-6.28e-06)",NA,"1.24e-06 (1.24e-06-1.24e-06)","0.02 (0.02-0.02)",NA
"Psychotria tenuifolia",2000,"2000 - 2005","0 (0-0)","2.21e-06 (1.15e-06-3.26e-06)","0 (0-0)","0 (0-0)","1.62e-06 (9.01e-07-2.35e-06)","0 (0-0)",NA,NA
"Psychotria tenuifolia",2005,"1980 - 1985","1.09e-05 (5.77e-06-1.61e-05)",NA,"2.19e-06 (1.16e-06-3.21e-06)","8.06e-06 (4.52e-06-1.16e-05)",NA,"1.61e-06 (9.14e-07-2.31e-06)","0.04 (0.04-0.04)",NA
"Pterocarpus hayesii",1985,"1985 - 1990","0.88 (0.621-1.21)","0.0197 (0.0102-0.0355)","0.0706 (0.0346-0.116)","0.115 (0.0858-0.144)","0.00298 (0.00213-0.00434)","0.00816 (0.00422-0.0123)","32.5 (31.1-33.9)","2 (1.92-2.1)"
"Pterocarpus hayesii",1990,"1990 - 1995","0.56 (0.361-0.813)","0.0197 (0.00645-0.0429)","0.0333 (0.00769-0.0776)","0.0839 (0.0634-0.106)","0.00272 (0.00151-0.00475)","0.00421 (0.00167-0.00805)","33.2 (31.8-34.7)","1.54 (1.48-1.64)"
"Pterocarpus hayesii",1995,"1995 - 2000","0.485 (0.321-0.691)","0.0074 (0.00448-0.0107)","0.0144 (0.00732-0.0236)","0.0761 (0.059-0.0979)","0.00147 (0.0011-0.00184)","0.00254 (0.00158-0.00372)","31.2 (29.7-32.6)","1.5 (1.46-1.56)"
