"Species","Census year","Census interval","AGB","AWP","AWM","BA","BAP","BAM","N","N10"
"Conostegia bracteata",1985,"1985 - 1990","0.000549 (0-0.00118)","2.72e-05 (3.05e-06-6.66e-05)","3.79e-05 (0-6.5e-05)","0.000141 (0-0.000285)","6.51e-06 (2.05e-06-1.42e-05)","1.1e-05 (0-1.8e-05)","0.08 (0.04-0.12)",NA
"Conostegia bracteata",1990,"1990 - 1995","0.000494 (1.55e-05-0.00126)","-1.05e-05 (-1.05e-05--1.05e-05)","8.86e-05 (0-0.000263)","0.000118 (1.04e-05-0.000278)","-2.69e-06 (-2.69e-06--2.69e-06)","2.01e-05 (0-5.81e-05)","0.06 (0.06-0.06)",NA
"Conostegia bracteata",1995,"1995 - 2000","1.62e-05 (0-4.87e-05)","2.15e-05 (1.31e-05-3.1e-05)","0 (0-0)","7.85e-06 (0-2.36e-05)","9.55e-06 (6.87e-06-1.24e-05)","0 (0-0)","0.04 (0.04-0.04)",NA
"Conostegia bracteata",2000,"2000 - 2005","0.000124 (6.39e-05-0.000198)","2.2e-05 (1.07e-05-4.45e-05)","2.48e-05 (1.31e-05-3.94e-05)","5.57e-05 (3.39e-05-8.51e-05)","9.32e-06 (4.55e-06-1.88e-05)","1.11e-05 (6.71e-06-1.69e-05)","0.2 (0.16-0.24)",NA
"Conostegia bracteata",2005,"2005 - 2010","0.00011 (5.38e-05-0.000223)","0.000122 (9.47e-05-0.000148)","1.71e-05 (0-4.03e-05)","4.66e-05 (2.28e-05-9.43e-05)","3.31e-05 (2.13e-05-4.49e-05)","7.08e-06 (0-1.66e-05)","0.08 (0.04-0.12)",NA
"Conostegia bracteata",2010,"2010 - 2015","0.00063 (0.000509-0.000751)","9.99e-05 (8.81e-05-0.000112)","3.84e-05 (0-7.68e-05)","0.000176 (0.000121-0.00023)","2.15e-05 (1.63e-05-2.67e-05)","1.1e-05 (0-2.2e-05)","0.14 (0.08-0.2)",NA
"Conostegia bracteata",2015,"1980 - 1985","0.000931 (0.000912-0.00095)",NA,NA,"0.000227 (0.000203-0.00025)",NA,NA,"0.1 (0.08-0.12)",NA
"Conostegia cinnamomea",1985,"1985 - 1990","0.00344 (0.00287-0.00407)","0.00045 (0.00035-0.000555)","0.000494 (0.000401-0.000608)","0.00156 (0.00135-0.0018)","0.000211 (0.000165-0.000263)","0.000227 (0.000184-0.000268)","5.58 (5.02-6.18)",NA
"Conostegia cinnamomea",1990,"1990 - 1995","0.00343 (0.00277-0.00417)","0.000319 (0.000253-0.000391)","0.000612 (0.000484-0.000764)","0.00156 (0.00131-0.00187)","0.000159 (0.000127-0.000195)","0.000276 (0.000223-0.000333)","3.98 (3.6-4.38)",NA
"Conostegia cinnamomea",1995,"1995 - 2000","0.00203 (0.00168-0.00243)","0.000272 (2e-04-0.000371)","0.000326 (0.000252-0.000402)","0.001 (0.00083-0.00119)","0.000126 (9.69e-05-0.00016)","0.00016 (0.000128-0.000197)","2.88 (2.58-3.26)",NA
"Conostegia cinnamomea",2000,"2000 - 2005","0.00176 (0.00135-0.00228)","0.000248 (0.000159-0.000356)","0.000307 (0.000231-0.000398)","0.000837 (0.000661-0.00103)","0.000117 (8.2e-05-0.000161)","0.000146 (0.000112-0.000185)","2.44 (2.18-2.76)",NA
"Conostegia cinnamomea",2005,"2005 - 2010","0.00146 (0.000982-0.00207)","0.000268 (0.000179-0.000405)","0.000269 (0.000171-0.00039)","0.000695 (0.000512-0.00092)","0.000127 (9.07e-05-0.000183)","0.000125 (8.93e-05-0.000172)","1.9 (1.72-2.08)",NA
"Conostegia cinnamomea",2010,"2010 - 2015","0.00146 (0.00101-0.00219)","0.000122 (8.89e-05-0.000158)","0.000128 (8.19e-05-0.000182)","0.000701 (0.000497-0.000978)","5.49e-05 (4.03e-05-7.08e-05)","6.23e-05 (4.15e-05-8.61e-05)","2 (1.78-2.24)",NA
"Conostegia cinnamomea",2015,"1980 - 1985","0.00142 (0.00105-0.00204)",NA,NA,"0.00066 (0.000495-0.000871)",NA,NA,"1.66 (1.46-1.92)",NA
"Cordia alliodora",1985,"1985 - 1990","0.603 (0.409-0.816)","0.0225 (0.0167-0.0294)","0.0257 (0.00702-0.0497)","0.0789 (0.0572-0.101)","0.0029 (0.00211-0.00378)","0.00312 (0.000964-0.00597)","2.16 (2-2.32)","1.16 (1.06-1.28)"
"Cordia alliodora",1990,"1990 - 1995","0.593 (0.415-0.8)","0.022 (0.0165-0.0285)","0.00569 (0.000321-0.0137)","0.0783 (0.0572-0.103)","0.00275 (0.00215-0.00351)","0.000832 (8.18e-05-0.0018)","2.38 (2.2-2.6)","1.2 (1.12-1.32)"
"Cordia alliodora",1995,"1995 - 2000","0.671 (0.468-0.888)","0.027 (0.0187-0.0369)","0.0166 (0.00373-0.0359)","0.0876 (0.0658-0.11)","0.00312 (0.00223-0.00403)","0.00218 (0.00055-0.00449)","2.16 (2-2.36)","1.28 (1.2-1.4)"
"Cordia alliodora",2000,"2000 - 2005","0.729 (0.508-0.965)","0.0259 (0.0176-0.0351)","0.0217 (0.00318-0.046)","0.093 (0.0678-0.122)","0.00312 (0.00223-0.00402)","0.00262 (0.000594-0.00534)","1.88 (1.74-2.04)","1.16 (1.08-1.26)"
"Cordia alliodora",2005,"2005 - 2010","0.741 (0.519-1.01)","0.0213 (0.0157-0.0274)","0.0229 (0.00737-0.0417)","0.0945 (0.0676-0.123)","0.00287 (0.00221-0.00355)","0.00304 (0.00112-0.00549)","2.94 (2.54-3.44)","1.16 (1.08-1.24)"
"Cordia alliodora",2010,"2010 - 2015","0.72 (0.492-0.988)","0.0268 (0.0179-0.0368)","0.0427 (0.0107-0.082)","0.0922 (0.0648-0.123)","0.0037 (0.00276-0.00481)","0.0049 (0.00166-0.00862)","3.76 (3.38-4.2)","1.2 (1.14-1.28)"
"Cordia alliodora",2015,"1980 - 1985","0.702 (0.44-0.981)",NA,NA,"0.0916 (0.0635-0.125)",NA,NA,"4.42 (3.98-4.92)","1.48 (1.38-1.6)"
"Cordia bicolor",1985,"1985 - 1990","1.64 (1.39-1.91)","0.063 (0.053-0.0735)","0.0201 (0.0102-0.0316)","0.258 (0.22-0.298)","0.0102 (0.00879-0.0118)","0.00335 (0.00193-0.0051)","15.2 (14.1-16.3)","5.14 (4.74-5.58)"
"Cordia bicolor",1990,"1990 - 1995","1.83 (1.55-2.13)","0.0537 (0.0428-0.0645)","0.0375 (0.0203-0.0591)","0.29 (0.246-0.332)","0.00895 (0.00746-0.0104)","0.00617 (0.00353-0.00898)","20.8 (19-22.5)","5.68 (5.28-6.12)"
"Cordia bicolor",1995,"1995 - 2000","1.92 (1.63-2.23)","0.0625 (0.0507-0.0739)","0.0439 (0.0249-0.066)","0.306 (0.267-0.351)","0.00936 (0.00775-0.0109)","0.00711 (0.00445-0.01)","19.1 (17.7-20.6)","6.46 (6.08-6.88)"
"Cordia bicolor",2000,"2000 - 2005","2 (1.71-2.33)","0.0679 (0.0585-0.0782)","0.0511 (0.0294-0.0744)","0.316 (0.275-0.355)","0.00978 (0.00842-0.0112)","0.00791 (0.0051-0.0111)","15.2 (14.1-16.4)","6.56 (6.14-7.02)"
"Cordia bicolor",2005,"2005 - 2010","2.09 (1.79-2.38)","0.0708 (0.0605-0.0824)","0.028 (0.0146-0.0431)","0.325 (0.282-0.366)","0.0105 (0.00891-0.012)","0.00454 (0.00259-0.00673)","13 (12.3-13.9)","6.44 (6.02-6.92)"
"Cordia bicolor",2010,"2010 - 2015","2.3 (1.97-2.63)","0.0688 (0.0585-0.0794)","0.0533 (0.0339-0.0765)","0.355 (0.312-0.402)","0.0101 (0.00874-0.0114)","0.00815 (0.00518-0.0113)","13.6 (12.8-14.5)","6.54 (6.12-6.96)"
"Cordia bicolor",2015,"1980 - 1985","2.37 (2.07-2.7)",NA,NA,"0.363 (0.316-0.408)",NA,NA,"14.6 (13.7-15.4)","6.62 (6.22-7.08)"
"Cordia lasiocalyx",1985,"1985 - 1990","0.675 (0.617-0.735)","0.0185 (0.0163-0.021)","0.02 (0.0144-0.0263)","0.183 (0.169-0.199)","0.0049 (0.0043-0.00556)","0.00533 (0.00412-0.0067)","33.6 (32.1-35.1)","8.72 (8.32-9.12)"
"Cordia lasiocalyx",1990,"1990 - 1995","0.66 (0.603-0.72)","0.00958 (0.00726-0.0121)","0.0316 (0.0257-0.0377)","0.18 (0.166-0.194)","0.00278 (0.00228-0.00334)","0.00857 (0.00722-0.0101)","33.7 (32.3-35.2)","8.54 (8.12-8.92)"
"Cordia lasiocalyx",1995,"1995 - 2000","0.556 (0.505-0.612)","0.00878 (0.00722-0.0107)","0.0298 (0.0245-0.0359)","0.153 (0.141-0.166)","0.00237 (0.00201-0.00279)","0.00811 (0.00674-0.00946)","30.1 (28.8-31.4)","7.06 (6.7-7.42)"
"Cordia lasiocalyx",2000,"2000 - 2005","0.452 (0.404-0.503)","0.00751 (0.00522-0.00973)","0.0225 (0.0177-0.0277)","0.125 (0.113-0.136)","0.00224 (0.00181-0.00268)","0.0061 (0.00498-0.00734)","25.6 (24.3-26.8)","5.78 (5.48-6.1)"
"Cordia lasiocalyx",2005,"2005 - 2010","0.376 (0.334-0.422)","0.00712 (0.00621-0.00822)","0.0176 (0.0137-0.0218)","0.105 (0.0945-0.115)","0.00219 (0.00195-0.00245)","0.00481 (0.00387-0.00587)","23.1 (22-24.3)","4.86 (4.64-5.12)"
"Cordia lasiocalyx",2010,"2010 - 2015","0.325 (0.287-0.362)","0.00764 (0.00672-0.00865)","0.013 (0.00958-0.0166)","0.0923 (0.0837-0.102)","0.00227 (0.00202-0.00251)","0.00364 (0.00292-0.00452)","22.4 (21.3-23.6)","4.24 (4.02-4.46)"
"Cordia lasiocalyx",2015,"1980 - 1985","0.296 (0.264-0.333)",NA,NA,"0.085 (0.0767-0.0937)",NA,NA,"21.8 (20.7-22.9)","3.46 (3.32-3.62)"
"Coussarea curvigemmia",1985,"1985 - 1990","0.185 (0.154-0.221)","0.0138 (0.0116-0.0165)","0.00559 (0.00381-0.00755)","0.0438 (0.0371-0.0505)","0.00338 (0.00294-0.00387)","0.00136 (0.00102-0.00173)","33.4 (30-37)","0.86 (0.78-0.94)"
"Coussarea curvigemmia",1990,"1990 - 1995","0.23 (0.193-0.268)","0.00989 (0.00816-0.0116)","0.00838 (0.00631-0.0109)","0.0554 (0.0479-0.0641)","0.00269 (0.00236-0.00309)","0.00223 (0.00175-0.00277)","39.1 (35.4-43.6)","1.06 (0.96-1.18)"
"Coussarea curvigemmia",1995,"1995 - 2000","0.239 (0.203-0.277)","0.011 (0.00939-0.0129)","0.00774 (0.00535-0.0107)","0.0579 (0.0502-0.0668)","0.00277 (0.0024-0.00316)","0.00209 (0.00165-0.00263)","40.4 (36.7-44.3)","1.04 (0.94-1.16)"
"Coussarea curvigemmia",2000,"2000 - 2005","0.255 (0.217-0.299)","0.0114 (0.00987-0.0133)","0.0104 (0.00776-0.0132)","0.0613 (0.053-0.07)","0.00287 (0.0025-0.00323)","0.00266 (0.00212-0.00328)","41.3 (37.9-45)","1.24 (1.12-1.38)"
"Coussarea curvigemmia",2005,"2005 - 2010","0.26 (0.223-0.3)","0.0114 (0.00964-0.0133)","0.0105 (0.00807-0.0133)","0.0623 (0.0545-0.0711)","0.00283 (0.00246-0.00324)","0.00266 (0.00218-0.00316)","41 (37.6-44.6)","1.22 (1.1-1.38)"
"Coussarea curvigemmia",2010,"2010 - 2015","0.265 (0.228-0.307)","0.00842 (0.00737-0.00957)","0.00808 (0.00566-0.011)","0.0632 (0.0561-0.0725)","0.0019 (0.0017-0.00214)","0.00188 (0.00143-0.00238)","40.1 (36.8-43.7)","1.32 (1.12-1.58)"
"Coussarea curvigemmia",2015,"1980 - 1985","0.265 (0.227-0.305)",NA,NA,"0.0631 (0.0556-0.0702)",NA,NA,"39.4 (36.5-42.7)","1.34 (1.18-1.54)"
"Coutarea hexandra",1985,"1985 - 1990","0.000362 (0.000108-0.000617)","3.66e-05 (4.62e-06-6.86e-05)","0 (0-0)","9.4e-05 (3.85e-05-0.00015)","8.28e-06 (8.73e-07-1.57e-05)","0 (0-0)","0.04 (0.04-0.04)",NA
"Coutarea hexandra",1990,"1990 - 1995","0.000545 (0.00045-0.00064)","6.95e-05 (3.8e-05-0.000101)","0 (0-0)","0.000135 (0.000117-0.000154)","1.26e-05 (7.41e-06-1.79e-05)","0 (0-0)","0.04 (0.04-0.04)",NA
"Coutarea hexandra",1995,"1995 - 2000","0.000893 (0.00064-0.00115)","8.67e-05 (0-0.000173)","0 (0-0)","0.000199 (0.000154-0.000243)","1.37e-05 (0-2.74e-05)","0 (0-0)","0.04 (0.04-0.04)",NA
"Coutarea hexandra",2000,"2000 - 2005","0.00133 (0-0.00302)","0.000223 (0-0.000665)","0 (0-0)","0.000267 (0-0.00057)","3.16e-05 (0-9.24e-05)","0 (0-0)","0.04 (0.04-0.04)","0.02 (0.02-0.02)"
"Coutarea hexandra",2005,"2005 - 2010","0.00244 (2.1e-05-0.00634)","0.000617 (7.22e-07-0.00124)","0 (0-0)","0.000425 (1.21e-05-0.00103)","8.29e-05 (3.11e-07-0.000152)","0 (0-0)","0.06 (0.06-0.06)","0.02 (0.02-0.02)"
"Coutarea hexandra",2010,"2010 - 2015","0.00552 (2.46e-05-0.0126)","0.000887 (3.63e-06-0.00141)","0 (0-0)","0.000839 (1.36e-05-0.00179)","0.000107 (1.43e-06-0.00018)","0 (0-0)","0.06 (0.06-0.06)","0.04 (0.04-0.04)"
"Coutarea hexandra",2015,"1980 - 1985","0.00996 (4.27e-05-0.0188)",NA,NA,"0.00138 (2.08e-05-0.00249)",NA,NA,"0.06 (0.06-0.06)","0.04 (0.04-0.04)"
"Croton billbergianus",1985,"1985 - 1990","0.149 (0.114-0.185)","0.0249 (0.0191-0.0315)","0.0149 (0.00986-0.0207)","0.032 (0.0249-0.0398)","0.00584 (0.0045-0.00725)","0.00312 (0.00227-0.0041)","12.4 (9.88-15.3)","1.3 (1.14-1.48)"
"Croton billbergianus",1990,"1990 - 1995","0.198 (0.155-0.245)","0.0263 (0.02-0.0331)","0.0209 (0.0149-0.0278)","0.0458 (0.0366-0.0558)","0.0052 (0.00396-0.00651)","0.00469 (0.00358-0.00607)","20.3 (16.4-25.2)","1.42 (1.24-1.62)"
"Croton billbergianus",1995,"1995 - 2000","0.228 (0.178-0.28)","0.0158 (0.0118-0.0201)","0.0265 (0.019-0.0349)","0.049 (0.0389-0.0587)","0.00293 (0.00223-0.00374)","0.0057 (0.00424-0.00734)","11.3 (9.64-12.9)","1.9 (1.64-2.2)"
"Croton billbergianus",2000,"2000 - 2005","0.175 (0.129-0.217)","0.0121 (0.0088-0.0158)","0.0205 (0.0144-0.0272)","0.0351 (0.0272-0.0434)","0.00252 (0.00192-0.00315)","0.0041 (0.00291-0.00531)","7.24 (6.34-8.26)","1.56 (1.36-1.78)"
"Croton billbergianus",2005,"2005 - 2010","0.133 (0.0979-0.173)","0.019 (0.0143-0.0244)","0.0155 (0.00958-0.022)","0.0272 (0.0206-0.0341)","0.00407 (0.00314-0.00509)","0.00306 (0.00197-0.0042)","9.38 (7.48-12.1)","0.98 (0.86-1.14)"
"Croton billbergianus",2010,"2010 - 2015","0.15 (0.113-0.196)","0.0257 (0.02-0.0321)","0.0106 (0.00711-0.0148)","0.0323 (0.0249-0.0401)","0.00521 (0.00415-0.00632)","0.00238 (0.00167-0.00312)","12.7 (10.7-14.8)","1 (0.9-1.12)"
"Croton billbergianus",2015,"1980 - 1985","0.225 (0.171-0.287)",NA,NA,"0.0462 (0.0369-0.0563)",NA,NA,"12.7 (10.3-15.8)","1.58 (1.4-1.78)"
"Cupania americana",1985,"1985 - 1990","0.06 (0.0229-0.11)","0.00343 (0.00103-0.00679)","0.000556 (0.00011-0.00121)","0.00875 (0.00364-0.0151)","0.000449 (2e-04-0.000768)","0.000128 (3.4e-05-0.000263)","0.98 (0.92-1.08)","0.18 (0.18-0.18)"
"Cupania americana",1990,"1990 - 1995","0.0757 (0.025-0.143)","0.00392 (0.00145-0.00729)","0.000272 (4.21e-05-0.000623)","0.0105 (0.00445-0.018)","0.000484 (0.000218-0.000809)","7.77e-05 (2.16e-05-0.000162)","1.04 (0.98-1.1)","0.2 (0.2-0.2)"
"Cupania americana",1995,"1995 - 2000","0.0926 (0.0315-0.171)","0.00933 (0.00255-0.0203)","0.00495 (3.01e-05-0.0144)","0.0124 (0.00543-0.0205)","0.00112 (0.000362-0.00236)","0.000609 (1.53e-05-0.00172)","0.9 (0.84-0.96)","0.24 (0.24-0.24)"
"Cupania americana",2000,"2000 - 2005","0.114 (0.0432-0.209)","0.011 (0.00309-0.0224)","0.00574 (8.16e-05-0.0156)","0.015 (0.0069-0.0251)","0.00132 (0.000416-0.00276)","0.000734 (3.18e-05-0.00191)","0.86 (0.8-0.94)","0.22 (0.22-0.22)"
"Cupania americana",2005,"2005 - 2010","0.14 (0.0572-0.254)","0.00861 (0.00192-0.02)","0.0106 (0.00116-0.0228)","0.0179 (0.00832-0.0302)","0.00106 (0.000261-0.00232)","0.00135 (0.00021-0.00286)","0.96 (0.9-1.04)","0.26 (0.26-0.26)"
"Cupania americana",2010,"2010 - 2015","0.134 (0.0474-0.229)","0.00466 (0.00135-0.00906)","0.00897 (5.3e-05-0.0216)","0.0167 (0.00684-0.0286)","0.000587 (0.000231-0.00107)","0.00106 (2.16e-05-0.00263)","1.16 (1.1-1.24)","0.2 (0.2-0.2)"
"Cupania americana",2015,"1980 - 1985","0.111 (0.0342-0.204)",NA,NA,"0.0142 (0.0051-0.0256)",NA,NA,"1.4 (1.32-1.5)","0.18 (0.18-0.18)"
"Cupania cinerea",1985,"1985 - 1990","0.00525 (0.000376-0.0143)","0.000341 (1.87e-05-0.000947)","1.25e-05 (0-3.75e-05)","0.000985 (0.000118-0.00251)","5.45e-05 (6.84e-06-0.000134)","4.94e-06 (0-1.48e-05)","0.16 (0.16-0.16)","0.02 (0.02-0.02)"
"Cupania cinerea",1990,"1990 - 1995","0.00693 (0.000455-0.0186)","0.000113 (6.09e-06-0.000251)","0.000156 (8.71e-07-0.000406)","0.00125 (0.000192-0.00311)","2.14e-05 (2.06e-06-4.63e-05)","4.19e-05 (2.25e-06-0.00011)","0.26 (0.26-0.26)","0.02 (0.02-0.02)"
"Cupania cinerea",1995,"1995 - 2000","0.00676 (0.00023-0.0192)","6.29e-05 (5.55e-06-0.000153)","0.00124 (7.17e-06-0.0037)","0.00115 (0.000107-0.00303)","1.54e-05 (3.58e-06-3.31e-05)","0.000197 (4.72e-06-0.000576)","0.18 (0.18-0.18)","0.02 (0.02-0.02)"
"Cupania cinerea",2000,"2000 - 2005","0.000886 (2.89e-05-0.00201)","4.14e-05 (1.28e-05-8.07e-05)","7.73e-07 (0-2.32e-06)","0.000251 (2.02e-05-0.00056)","1.35e-05 (7.19e-06-2.21e-05)","6.89e-07 (0-2.07e-06)","0.1 (0.1-0.1)",NA
"Cupania cinerea",2005,"2005 - 2010","0.00109 (0.000112-0.00239)","2.72e-05 (-3.43e-06-6.13e-05)","3.35e-05 (1.6e-06-9.1e-05)","0.000315 (6.78e-05-0.000587)","1.22e-05 (4.17e-07-2.63e-05)","1.26e-05 (1.02e-06-3.12e-05)","0.22 (0.2-0.26)",NA
"Cupania cinerea",2010,"2010 - 2015","0.00106 (0.000115-0.00236)","0.000179 (3.91e-05-0.00037)","0.000125 (0-0.000365)","0.000314 (7.58e-05-0.000632)","5.67e-05 (1.83e-05-0.000109)","3.12e-05 (0-8.91e-05)","0.2 (0.16-0.24)",NA
"Cupania cinerea",2015,"1980 - 1985","0.00132 (0.00044-0.00246)",NA,NA,"0.000439 (0.000138-0.000777)",NA,NA,"0.38 (0.3-0.5)",NA
"Cupania rufescens",1985,"1985 - 1990","0.0472 (0.00811-0.102)","0.0027 (0.000532-0.0058)","0.00021 (2.87e-05-0.000512)","0.00609 (0.00158-0.0121)","0.000369 (0.000145-0.000664)","5.51e-05 (1.51e-05-0.000119)","1.46 (1.34-1.6)","0.12 (0.12-0.12)"
"Cupania rufescens",1990,"1990 - 1995","0.0598 (0.0137-0.12)","0.00182 (0.000683-0.0033)","0.00522 (7.99e-05-0.0142)","0.00772 (0.00236-0.014)","0.000271 (0.00014-0.000438)","0.00063 (2.91e-05-0.00166)","1.96 (1.76-2.2)","0.12 (0.12-0.12)"
"Cupania rufescens",1995,"1995 - 2000","0.0442 (0.00874-0.101)","0.000908 (0.000315-0.00177)","0.00687 (0.00016-0.0178)","0.00607 (0.002-0.0118)","0.00018 (9.52e-05-0.000305)","0.000838 (6.35e-05-0.00202)","2.12 (1.9-2.38)","0.08 (0.08-0.08)"
"Cupania rufescens",2000,"2000 - 2005","0.0144 (0.00425-0.0314)","0.00101 (0.000357-0.00208)","0.000231 (0.000116-0.000369)","0.00278 (0.00129-0.00514)","0.000187 (9.59e-05-0.000329)","8.38e-05 (4.91e-05-0.000126)","1.88 (1.7-2.1)","0.04 (0.04-0.04)"
"Cupania rufescens",2005,"2005 - 2010","0.0183 (0.00499-0.0376)","0.00165 (0.000507-0.0032)","0.00181 (0.00013-0.0051)","0.0033 (0.00149-0.00593)","0.00031 (0.000137-0.00058)","0.000287 (4.8e-05-0.000733)","1.78 (1.58-2)","0.04 (0.04-0.04)"
"Cupania rufescens",2010,"2010 - 2015","0.0173 (0.00629-0.0335)","0.0022 (0.000942-0.00372)","0.000124 (6.34e-05-0.000205)","0.00339 (0.00178-0.00564)","0.000369 (0.000207-0.000556)","4.99e-05 (2.64e-05-7.8e-05)","1.94 (1.74-2.18)","0.08 (0.08-0.08)"
"Cupania rufescens",2015,"1980 - 1985","0.0277 (0.0104-0.0483)",NA,NA,"0.00498 (0.00265-0.00789)",NA,NA,"2.5 (2.26-2.78)","0.12 (0.12-0.12)"
"Cupania seemannii",1985,"1985 - 1990","0.125 (0.0992-0.151)","0.0206 (0.0166-0.0252)","0.0165 (0.012-0.0218)","0.0292 (0.0246-0.034)","0.00486 (0.00406-0.00571)","0.00358 (0.00281-0.00455)","21 (19.8-22.4)","0.56 (0.52-0.62)"
"Cupania seemannii",1990,"1990 - 1995","0.147 (0.123-0.173)","0.0261 (0.0211-0.0321)","0.0232 (0.0185-0.0284)","0.0365 (0.0316-0.0414)","0.00602 (0.00498-0.00711)","0.0054 (0.00452-0.00647)","22.6 (21.4-24)","0.72 (0.68-0.78)"
"Cupania seemannii",1995,"1995 - 2000","0.162 (0.136-0.192)","0.0273 (0.0225-0.0325)","0.0246 (0.0199-0.0297)","0.0395 (0.0347-0.0449)","0.0062 (0.00522-0.0073)","0.00565 (0.00474-0.00672)","22.5 (21.1-23.9)","0.86 (0.84-0.92)"
"Cupania seemannii",2000,"2000 - 2005","0.175 (0.148-0.207)","0.0307 (0.025-0.0366)","0.0277 (0.0225-0.0332)","0.0423 (0.037-0.0483)","0.00674 (0.00575-0.00778)","0.00627 (0.00526-0.00741)","24.2 (22.9-25.7)","0.92 (0.88-0.98)"
"Cupania seemannii",2005,"2005 - 2010","0.19 (0.159-0.224)","0.0315 (0.0257-0.0377)","0.0303 (0.0247-0.0366)","0.0447 (0.0389-0.0514)","0.00701 (0.00589-0.00818)","0.00666 (0.0055-0.00781)","24.1 (22.8-25.5)","1 (0.96-1.06)"
"Cupania seemannii",2010,"2010 - 2015","0.197 (0.165-0.231)","0.0102 (0.00862-0.0119)","0.00803 (0.00494-0.0116)","0.0464 (0.0402-0.0527)","0.00251 (0.00222-0.00284)","0.00179 (0.00128-0.0024)","25 (23.6-26.5)","1 (0.98-1.04)"
"Cupania seemannii",2015,"1980 - 1985","0.206 (0.173-0.242)",NA,NA,"0.0499 (0.0436-0.0565)",NA,NA,"27.7 (26.3-29.3)","1.04 (1-1.1)"
"Cyathea petiolata",1985,"1985 - 1990","0.000237 (0.00021-0.000264)","-1.23e-05 (-1.23e-05--1.23e-05)","1.96e-05 (0-3.91e-05)","7.78e-05 (7.7e-05-7.85e-05)","-2.93e-06 (-2.93e-06--2.93e-06)","7.17e-06 (0-1.43e-05)","0.06 (0.04-0.08)",NA
"Cyathea petiolata",1990,"1980 - 1985","7.9e-05 (7.9e-05-7.9e-05)",NA,"1.61e-05 (1.61e-05-1.61e-05)","2.64e-05 (2.64e-05-2.64e-05)",NA,"5.38e-06 (5.38e-06-5.38e-06)","0.02 (0.02-0.02)",NA
"Damburneya umbrosa",1985,"1985 - 1990","0.00691 (0.00427-0.0103)","0.00136 (0.000804-0.00226)","0.000769 (0.000403-0.00121)","0.00203 (0.00135-0.00269)","0.000362 (0.000245-0.000508)","0.00023 (0.000138-0.000343)","1.6 (1.44-1.76)","0.02 (0.02-0.02)"
"Damburneya umbrosa",1990,"1990 - 1995","0.00989 (0.00582-0.0153)","0.00134 (0.000729-0.00226)","0.000983 (0.000461-0.00171)","0.00271 (0.00193-0.00363)","0.000336 (0.000208-0.000508)","0.000279 (0.000157-0.000433)","1.62 (1.46-1.78)","0.04 (0.04-0.04)"
"Damburneya umbrosa",1995,"1995 - 2000","0.0117 (0.00674-0.0175)","0.00182 (0.00092-0.00304)","0.00142 (0.000548-0.00258)","0.00301 (0.00204-0.00423)","0.000421 (0.000251-0.00063)","0.000351 (0.000181-0.000574)","1.7 (1.56-1.88)","0.06 (0.06-0.06)"
"Damburneya umbrosa",2000,"2000 - 2005","0.0137 (0.00781-0.0219)","0.00271 (0.00127-0.00447)","0.00161 (0.000784-0.00271)","0.00336 (0.00221-0.00487)","0.000554 (0.000307-0.000811)","0.000411 (0.000226-0.000612)","1.44 (1.32-1.6)","0.08 (0.08-0.08)"
"Damburneya umbrosa",2005,"2005 - 2010","0.0192 (0.00929-0.0311)","0.00168 (0.000657-0.00326)","0.00214 (0.000852-0.00392)","0.00407 (0.00245-0.00637)","0.000358 (0.000181-0.000603)","0.000468 (0.000228-0.000786)","1.32 (1.16-1.54)","0.1 (0.1-0.1)"
"Damburneya umbrosa",2010,"2010 - 2015","0.0169 (0.00624-0.0311)","0.00154 (0.00067-0.00267)","0.00102 (0.000229-0.00242)","0.00352 (0.0017-0.00593)","0.000342 (0.000205-0.000516)","0.000229 (7.55e-05-0.000488)","1.48 (1.32-1.68)","0.06 (0.06-0.06)"
"Damburneya umbrosa",2015,"1980 - 1985","0.0195 (0.00748-0.0345)",NA,NA,"0.00408 (0.00219-0.00654)",NA,NA,"1.8 (1.7-1.94)","0.1 (0.1-0.1)"
"Dendropanax arboreus",1985,"1985 - 1990","1.1 (0.813-1.41)","0.0193 (0.0136-0.0263)","0.0275 (0.00939-0.0514)","0.166 (0.129-0.206)","0.00259 (0.00194-0.00337)","0.00416 (0.00147-0.00735)","3.24 (3.04-3.48)","2.04 (1.92-2.16)"
"Dendropanax arboreus",1990,"1990 - 1995","1.03 (0.735-1.36)","0.0126 (0.00725-0.0189)","0.0247 (0.00832-0.0449)","0.156 (0.119-0.195)","0.00168 (0.00112-0.0024)","0.00377 (0.00123-0.00695)","2.72 (2.52-2.96)","1.86 (1.76-1.98)"
"Dendropanax arboreus",1995,"1995 - 2000","0.966 (0.704-1.27)","0.0125 (0.00826-0.0175)","0.0425 (0.00948-0.0902)","0.145 (0.11-0.186)","0.00167 (0.0012-0.00225)","0.00572 (0.00154-0.0111)","2.32 (2.14-2.52)","1.74 (1.64-1.86)"
"Dendropanax arboreus",2000,"2000 - 2005","0.816 (0.596-1.07)","0.0112 (0.0065-0.0172)","0.0513 (0.0184-0.0913)","0.124 (0.0971-0.156)","0.00152 (0.000955-0.00227)","0.00714 (0.00296-0.0125)","2.08 (1.94-2.22)","1.54 (1.46-1.64)"
